label,id_1,id_2,text_1,text_2,deberta-v3-large_score,deberta-v3-large_pred,stsb-deberta-v3-large_score,stsb-deberta-v3-large_pred,stsb-roberta-large_score,stsb-roberta-large_pred,final_pred
0,749900,749726,Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.,"In the memo, Ballmer reiterated the open-source threat to Microsoft.",0.9995747,1,0.99948823,1,0.99953544,1,1
0,44397,44620,"Garner said the self-proclaimed mayor of Baghdad, Mohammed Mohsen al-Zubaidi, was released after two days in coalition custody.",Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April.,0.99970573,1,0.99969184,1,0.9995907,1,1
0,2287353,2287336,"""It appears from our initial report that this was a textbook landing considering the circumstances,"" Burke said.","Said Mr. Burke: ""It was a textbook landing considering the circumstances.""",0.99973446,1,0.99956006,1,0.99964404,1,1
0,2836872,2837029,"But, to the dismay of Reaganites, there is no mention of the Reagan-era economic boom.",But there is no mention of the economic recovery or the creation of wealth during his administration.,0.99579287,1,0.99891126,1,0.9971896,1,1
0,1793425,1793488,"A Florida grand jury investigating pharmaceutical wholesalers indicted 19 people on charges of peddling bogus or diluted medications often prescribed for cancer and AIDS patients, authorities said yesterday.","A Florida grand jury indicted 19 people for contaminating and diluting prescription drugs desperately needed by AIDS and cancer patients in a multimillion-dollar scheme, prosecutors said Monday.",0.9997129,1,0.99950254,1,0.99955434,1,1
0,91457,91527,"""This is where you're measured – not in the regular season but right now.","And it's not in the regular season, but right now,"" Babcock said.",0.7806421,1,0.995271,1,0.9996371,1,1
0,2488322,2488374,Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.,0.99936336,1,0.99898237,1,0.9993924,1,1
0,222535,222564,"Genentech Inc., the world's second-biggest biotechnology company, and Xoma Ltd. said their Rapitva drug failed to help patients with rheumatoid arthritis in a study.","Genentech Inc., the world's second-largest biotechnology company, and Xoma Ltd. said they will terminate Phase II testing of their Raptiva rheumatoid-arthritis drug after finding no benefit for patients.",0.99933845,1,0.9995617,1,0.98281074,1,1
0,2858180,2858100,"Shares ended Wednesday at $6.83, up 2 cents.",Shares of Goodyear rose 2 cents on Wednesday and closed at $6.83.,0.99930763,1,0.9994899,1,0.9948578,1,1
0,787889,788223,The initial report was made to Modesto Police December 28.,It stems from a Modesto police report.,0.99923587,1,0.9987796,1,0.8659552,1,1
0,246576,246511,"The third appointment was to a new job, executive vice president and chief staff officer.","Bruce N. Hawthorne, 53, was named executive vice president and chief staff officer.",0.99460584,1,0.99515235,1,0.9979693,1,1
0,3233010,3232953,The mother also alleged in the lawsuit that she was sexually assaulted by one of the guards.,The mother also contended that she was sexually assaulted by one of the guards during the 1998 confrontation.,0.9996786,1,0.99305093,1,0.999587,1,1
